ImageId,bboxes
0002cc93b.jpg,"[[161, 113, 184, 127], [88, 304, 193, 331], [192, 332, 255, 355], [63, 350, 102, 368], [74, 741, 101, 755]]"
0007a71bf.jpg,"[[146, 72, 255, 85], [4, 1145, 254, 1167]]"
000a4bcdd.jpg,"[[206, 146, 241, 187], [202, 244, 224, 267], [113, 247, 162, 276], [146, 286, 195, 326], [108, 338, 140, 355], [193, 352, 227, 377], [128, 373, 155, 417], [183, 397, 206, 416], [232, 435, 255, 458], [55, 439, 97, 461]]"
000f6bf48.jpg,"[[0, 515, 217, 860], [126, 853, 255, 1131]]"
0014fce06.jpg,"[[60, 896, 249, 929]]"
0025bde0c.jpg,"[[2, 33, 106, 227], [95, 836, 176, 868], [4, 889, 96, 939], [23, 1007, 96, 1038], [14, 1074, 103, 1104], [9, 1166, 106, 1200]]"
0025bde0c.jpg,"[[0, 1231, 47, 1416], [65, 1389, 185, 1512]]"
002af848d.jpg,"[[222, 1135, 254, 1224], [189, 1382, 254, 1454]]"
002fc4e19.jpg,"[[83, 570, 160, 595]]"
002fc4e19.jpg,"[[163, 568, 255, 584]]"
0030401a5.jpg,"[[196, 729, 255, 781], [0, 854, 255, 1315]]"
0046839bd.jpg,"[[42, 597, 99, 768]]"
005d86c25.jpg,"[[0, 1, 255, 763], [4, 92, 68, 282]]"
005f02e20.jpg,"[[104, 1244, 214, 1296]]"
005f19695.jpg,"[[0, 481, 125, 502], [0, 523, 234, 548], [0, 574, 255, 612], [2, 678, 255, 707], [0, 1131, 234, 1164], [0, 1273, 255, 1320]]"
008621629.jpg,"[[180, 841, 253, 1024], [134, 1152, 249, 1580]]"
0088260da.jpg,"[[0, 101, 255, 140], [0, 414, 172, 1383], [28, 1351, 255, 1381], [50, 1399, 254, 1428]]"
008d0f87b.jpg,"[[49, 282, 252, 306], [0, 558, 114, 587], [132, 1482, 255, 1515]]"
008ef3d74.jpg,"[[182, 1391, 255, 1430]]"
008ef3d74.jpg,"[[4, 1466, 161, 1499]]"
0095cd374.jpg,"[[1, 41, 220, 112]]"
00ac8372f.jpg,"[[106, 397, 187, 415]]"
00ac8372f.jpg,"[[63, 383, 255, 396], [0, 417, 255, 450]]"
00af2671f.jpg,"[[0, 607, 255, 633], [0, 663, 255, 739], [0, 800, 255, 823], [0, 835, 255, 853], [0, 1100, 228, 1120]]"
00bc01bfe.jpg,"[[193, 831, 224, 843], [193, 880, 236, 890], [129, 1093, 215, 1116], [151, 1256, 194, 1282], [204, 1314, 255, 1335]]"
00bf8497a.jpg,"[[23, 795, 103, 850], [32, 864, 82, 906], [63, 1392, 92, 1474]]"
00c88fed0.jpg,"[[227, 40, 254, 58]]"
00c88fed0.jpg,"[[114, 52, 255, 70], [1, 61, 183, 83]]"
00cdb56a0.jpg,"[[71, 1034, 134, 1072]]"
00d639396.jpg,"[[0, 895, 255, 1230]]"
